trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-136.7069230588855,"{0: 20, 1: 0, 2: 8, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-172.15789621495733,"{0: 15, 1: 0, 2: 5, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-188.750979958094,"{0: 18, 1: 0, 2: 9, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-206.32670850251444,"{0: 7, 1: 0, 2: 9, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-204.47857206873357,"{0: 9, 1: 0, 2: 6, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-205.20550458651962,"{0: 12, 1: 0, 2: 10, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-287.5821516601757,"{0: 21, 1: 0, 2: 7, 3: 2, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,7,-39.912721784533794,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-322.132458636228,"{0: 13, 1: 0, 2: 10, 3: 2, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-177.6267489870056,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-213.80453372429952,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-139.45545490103567,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-214.52337119064453,"{0: 12, 1: 0, 2: 10, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,8,-38.76529535418115,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,4,-120.83072380082179,"{0: 6, 1: 0, 2: 9, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-191.72397860358498,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-339.56577808151803,"{0: 8, 1: 0, 2: 11, 3: 0, 4: 6}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-336.51645932478914,"{0: 8, 1: 0, 2: 11, 3: 0, 4: 6}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-111.31993624910992,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-228.54795423359258,"{0: 6, 1: 0, 2: 11, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,0,-126.43546469695441,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-252.0828073259835,"{0: 6, 1: 0, 2: 10, 3: 0, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",25,0,-174.76305466170976,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",20,0,-208.3486497677844,"{0: 8, 1: 0, 2: 9, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,0,-186.77652409354383,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",30,0,-209.05910560913017,"{0: 17, 1: 0, 2: 10, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",25,10,-71.6658151245727,"{0: 7, 1: 0, 2: 8, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-113.17524104146062,"{0: 8, 1: 0, 2: 12, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,17,-21.512899253981903,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,8,-132.39242876393206,"{0: 4, 1: 0, 2: 6, 3: 0, 4: 2}",1
