trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6725526074066261, 'e': 0.999982000054}",20,0,-116.42881745581946,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",1
2,False,"{'a': 0.6592351735089741, 'e': 0.9999280008639958}",30,0,-162.26489561131487,"{0: 20, 1: 0, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.646181442470645, 'e': 0.9998380043739528}",30,0,-140.53245640382235,"{0: 19, 1: 0, 2: 8, 3: 2, 4: 1}",0
4,False,"{'a': 0.6333861926251716, 'e': 0.9997120138237345}",25,0,-102.44535133008691,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.6208443057020102, 'e': 0.9995500337489875}",20,9,5.566163876317049,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.608550764779164, 'e': 0.9993520699809768}",20,0,-200.32500388319207,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
7,False,"{'a': 0.5965006522763479, 'e': 0.9991181296463766}",20,0,-159.0853633866679,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5846891479878904, 'e': 0.9988482211670138}",20,0,-124.90978493733003,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5731115271545872, 'e': 0.9985423542595644}",20,0,-149.54663271762104,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 4}",0
10,False,"{'a': 0.5617631585737349, 'e': 0.9982005399352042}",20,0,-83.9782818375619,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5506395027465874, 'e': 0.9978227904992117}",25,6,-138.47583273948064,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 2}",1
12,False,"{'a': 0.5397361100624963, 'e': 0.9974091195505261}",20,0,-191.80558485926508,"{0: 12, 1: 0, 2: 1, 3: 4, 4: 3}",0
13,False,"{'a': 0.5290486190190078, 'e': 0.9969595419812568}",30,0,-216.7203392341725,"{0: 13, 1: 0, 2: 13, 3: 3, 4: 1}",0
14,False,"{'a': 0.5185727544772025, 'e': 0.9964740739761475}",20,0,-170.8702571632188,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5083043259515836, 'e': 0.9959527330119943}",20,16,8.215358582512545,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.49823922593382675, 'e': 0.9953955378570153}",20,0,-123.04434962520325,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
17,False,"{'a': 0.4883734282497217, 'e': 0.994802508570176}",20,0,-158.2193364113113,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
18,False,"{'a': 0.47870298644864906, 'e': 0.9941736665004669}",25,0,-108.48953553694115,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.4692240322249475, 'e': 0.9935090342861342}",25,12,-76.54037049636354,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 1}",1
20,False,"{'a': 0.4599327738705397, 'e': 0.9928086358538663}",25,0,-159.1469314046611,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
21,False,"{'a': 0.45082549475819894, 'e': 0.9920724964179307}",20,0,-203.13586112168545,"{0: 7, 1: 0, 2: 9, 3: 2, 4: 2}",0
22,False,"{'a': 0.4418985518548481, 'e': 0.9913006424792677}",20,0,-103.65339317008673,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
23,False,"{'a': 0.4331483742642986, 'e': 0.9904931018245359}",20,13,0.1315193763722735,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.42457146179884336, 'e': 0.9896499035251115}",30,9,-154.89787125796593,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 2}",1
25,False,"{'a': 0.41616438357913604, 'e': 0.9887710779360422}",25,0,-138.1791675838785,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
26,False,"{'a': 0.40792377666179275, 'e': 0.9878566566949545}",20,0,-273.6615517628158,"{0: 9, 1: 0, 2: 4, 3: 2, 4: 5}",0
27,False,"{'a': 0.3998463446941704, 'e': 0.986906672720914}",20,0,-164.3161307084148,"{0: 7, 1: 0, 2: 11, 3: 1, 4: 1}",0
28,False,"{'a': 0.3919288565957814, 'e': 0.9859211602132415}",25,0,-173.26860550258465,"{0: 13, 1: 0, 2: 9, 3: 1, 4: 2}",0
29,False,"{'a': 0.38416814526581855, 'e': 0.9849001546502806}",20,0,-212.6954896217769,"{0: 8, 1: 0, 2: 6, 3: 4, 4: 2}",0
30,False,"{'a': 0.3765611063162721, 'e': 0.9838436927881214}",25,12,-91.37978939674143,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 1}",1
31,False,"{'a': 0.36910469683013397, 'e': 0.9827518126592768}",30,0,-220.95410521397335,"{0: 17, 1: 0, 2: 8, 3: 2, 4: 3}",0
