trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6930348836244177, 'e': 0.9999995000000417}",30,15,22.64072520822924,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.6895783577221438, 'e': 0.9999980000006666}",25,14,16.00818427665874,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.6861390713147286, 'e': 0.999995500003375}",20,8,18.782730947118914,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.6827169384198328, 'e': 0.9999920000106667}",20,8,17.681429616295116,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.6793118734839557, 'e': 0.9999875000260416}",30,20,17.02690562059545,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.6759237913802965, 'e': 0.999982000054}",30,7,38.5764597111759,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.6725526074066261, 'e': 0.9999755001000415}",20,0,26.27835542526737,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.66919823728317, 'e': 0.9999680001706663}",30,24,11.577261207445346,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.6658605971504997, 'e': 0.9999595002733742}",20,5,20.714820622436843,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.6625396035674387, 'e': 0.9999500004166653}",20,9,13.536905528863219,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.6592351735089741, 'e': 0.9999395006100392}",20,7,17.717476444082205,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.6559472243641824, 'e': 0.9999280008639958}",25,10,19.085656312117337,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.6526756739341637, 'e': 0.9999155011900349}",20,0,26.57613178853073,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.6494204404299869, 'e': 0.9999020016006562}",20,6,24.730879502804612,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.646181442470645, 'e': 0.9998875021093592}",20,3,20.68528943475801,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.6429585990810202, 'e': 0.9998720027306434}",25,9,22.0154137489296,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.6397518296898597, 'e': 0.9998555034800082}",20,7,14.331462988862192,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.636561054127762, 'e': 0.9998380043739528}",20,6,23.401711989482507,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.6333861926251716, 'e': 0.9998195054299763}",30,20,17.713432883545387,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.6302271658103858, 'e': 0.9998000066665778}",20,16,7.242071395138579,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,4,23.038674088154952,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,15,19.107136636129784,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,16.663402119040516,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,16,9.42995168247116,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,18,10.544816582675873,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,8,19.969261366592956,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,17,13.000144254891893,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,18,10.860359632426048,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,6,17.69069877354718,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,40.887141216652914,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
